date,user_name,text
1/11/2021 9:28,MNC Trijaya 104.6 FM,"Izin penggunaan darurat vaksin Sinovac diumumkan Kepala BPOM Penny K. Lukito dalam konferensi pers secara virtual,â€¦ https://t.co/uvQ6j9Thau"
1/11/2021 9:45,Validnews Indonesia,"Insyaallah berita baik dari Badan Pengawas Obat dan Makanan (BPOM) juga bisa segera menyusul,"" ujar Budi Gunadi.â€¦ https://t.co/K7rMdy81Z6"
1/11/2021 10:04,DW Indonesia,"21 Desember 2020, Badan Pengawas Obat Eropa (EMA) dan Komisi Eropa mengizinkan penggunaan #vaksin virus coronaâ€¦ https://t.co/y4ddLmGwL9"
1/11/2021 10:08,Eka Hospital,"Yuk cek faktanya seputar vaksin virus corona di IG Live Eka Hospital bersama @sinar_masid pada hari Rabu, 13 Januarâ€¦ https://t.co/0WO4Sfnje9"
1/11/2021 10:45,simmanews,"info, Pekan ini tenaga kesehatan di Jabar mulai suntik vaksin Covid cek disini untuk selengkapnyaâ€¦ https://t.co/msZcLrS0lP"
1/11/2021 11:06,Fix Makassar,BPOM (@BPOM_RI) akhirnya mengeluarkan izin penggunaan darurat atau EUA untuk vaksin Covid-19. Penny menyebutkan sudâ€¦ https://t.co/lXf99CcXwL
1/11/2021 11:26,Teleskop,"Perkembangan #vaksin di #Indonesia, diiringi dengan kenaikan kasus #COVID19 yang memaksa kita pada PSBB. Ternyata nâ€¦ https://t.co/MxYGkyBSoC"
1/11/2021 11:47,gian fitriyani,"Siapa saja yg tidak boleh di Vaksin COVID19?

ðŸŽµ Aya Nakamura - Copines
#vaccines #vaccination #vaksinâ€¦ https://t.co/IK5ByRrL4S"
1/11/2021 12:07,windy wardani,"BPOM Terbitkan izin penggunaan darurat vaksin Covid19 buatan sinovac
#vaksin #sinovachalal #vaksÃ¬ncovid19â€¦ https://t.co/4cDaCr3hKh"
1/11/2021 12:07,windy wardani,"Lusa Vaksinasi akan Dimulai
#vaksin #sinovachalal #vaksÃ¬ncovid19 #vaksingratisutkrakyat #covid19indonesia #Covid19â€¦ https://t.co/UJ4io7aHLg"
1/11/2021 12:08,windy wardani,"Vaksin Covid19 Produksi Sinovac Suci dan Halal
#vaksin #sinovachalal #vaksÃ¬ncovid19 #vaksingratisutkrakyatâ€¦ https://t.co/E6SkG7VDLq"
1/11/2021 12:09,Andi soraya,"Dengerin ini vaksin yg mengandung Vero Cell

#Harto
#Telegram
#11januari
#Pengusaha
#VaksinLolosUjiKlinis
#Zamanâ€¦ https://t.co/rgwu7c7i5c"
1/11/2021 12:33,gopos.id,"Selain memberi dukungan, para anggota legislatif (aleg) bersedia menjadi kelompok pertama yang menjalani vaksinasiâ€¦ https://t.co/f6s8OJMScU"
1/11/2021 12:47,Marsianus Eka Noviantus,"kenapa harus nakes, kan kita ada wakil rakyat, sebagai wakil nya rakyat, seharusnya mereka yang pertama #covid19â€¦ https://t.co/4ywmGFsuys"
1/11/2021 13:00,VIVAcoid,"Jelang vaksinasi yang dimulai 13 Januari 2021, izin penggunaan darurat vaksin tersebut sudah dikeluarkan.â€¦ https://t.co/y0qxIaVEcc"
1/11/2021 13:10,Majelis Ulama Indonesia,"BPOM (@BPOM_RI) Terbitkan EUA, Komisi Fatwa MUI: Vaksin Sinovac Halal dan Boleh Digunakan Muslimâ€¦ https://t.co/ziehQuSiT5"
1/11/2021 13:12,Ayu Mashari,"""Vaksin bukan tiket aman COVID ya gaes, masih ada kemungkinan kita kena (kayak orang yg udah vaksin cacar air, teteâ€¦ https://t.co/aJBW79wLZt"
1/11/2021 13:19,Borneo Idaman,"Vaksin Sinovac Tiba di Yogya, Vaksinasi direncanakan pada Tanggal 14 Januari #vaksin #covid19 #indonesiasehat https://t.co/hxSFREY0AC"
1/11/2021 13:44,Validnews Indonesia,Belakangan kita disibukkan memilih vaksin apa yang paling baik. Atau siapa kelompok yang paling pantas diprioritaskâ€¦ https://t.co/swOGQYgWg3
1/11/2021 13:52,Kaltim Official,Pemerintah berupaya keras mengantisipasi supaya virus corona varian baru tidak sampai ke Indonesia tercinta.â€¦ https://t.co/ubPHlHHH6Y
1/11/2021 14:14,iNews,"Saksikan iNews Malam ""BPOM Keluarkan Izin Vaksin COVID-19"" sekarang, hanya di iNews!

#iNews #iNewsMalam #vaksinâ€¦ https://t.co/MhMVaMmUqI"
1/11/2021 14:16,newsmerahputih,"Harus berjalan efektif, pemerintah akan memulai program vaksinasi COVID-19 pada 13 Januari mendatang.â€¦ https://t.co/vWp0kXRUYZ"
1/11/2021 14:16,GenPI.co,"Jelang dua hari sebelum vaksinasi tahap pertama dilakukan, Badan POM akhirnya mengeluarkan izin Emergency use authoâ€¦ https://t.co/FIDndjwfbZ"
1/11/2021 14:29,iNews.id,"BPOM akhirnya mengeluarkan izin edar vaksin Covid-19 Sinovac. 

#Vaksin #Sinovac #BPOM 

https://t.co/HneLTmjvkP"
1/11/2021 14:40,GenPI.co,Badan Pengawas Obat dan Makanan (BPOM) akhirnya mengeluarkan izin penggunaan darurat vaksin atau emergency use authâ€¦ https://t.co/czTzqnzLzw
1/11/2021 14:48,Lampung Post (Official),"Majelis Ulama Indonesia (MUI) mengeluarkan fatwa halal terhadap vaksin Covid-19 produksi Sinovac, Tiongkok, yang diâ€¦ https://t.co/3wQ9xF4g1g"
1/11/2021 14:49,Lampung Post (Official),BPOM resmi mengeluarkan izin darurat atau emergency user authorization (UEA) untuk vaksin Covid-19 buatan Sinovac.â€¦ https://t.co/qzvBQmqBZD
1/11/2021 14:58,parade.id,"Alasan Darurat, BPOM Setuju Penggunaan Vaksin Sinovac

https://t.co/VcUwBjAi2G

#Nasional #Kesehatan #BPOM #Covid_19 #Vaksin"
1/11/2021 15:12,BaBe - Baca Berita,"Dapat Izin Darurat BPOM, Vaksin Sinovac Siap Disuntikkan ke Jokowi 13 Januari #Vaksin #BudiGunadiSadikin #BadanPOMâ€¦ https://t.co/mQ7gTgI0xR"
1/11/2021 15:54,Belajar Saham,"Temen"" gimana nih? Vaksin sudah dapat izin dari BPOM. Tentunya itu akan jadi sentimen positif untuk saham-saham farâ€¦ https://t.co/cEx1mz9KL7"
1/11/2021 15:59,Prokom Kukar,"Pendapat Prof. Dr. dr. Cissy, Guru Besar, dst.
Tegaskan Vaksin Covid 19 aman digunakan.

#vaksin
#COVID19â€¦ https://t.co/fLxA8dSZPK"
1/11/2021 16:09,Febri Aryanto,"Jika vaksin hendak di edarkan hrus msuk bpom di cek scra ktat hlal hram nya jgn smpai org brpkir yg tdk"" &amp; jgn jdikâ€¦ https://t.co/zPTLluxu88"
1/11/2021 16:16,Get VaccsðŸ’‰,Halo semuanya! Hari ini Get Vaccs mau kasih informasi ke kalian tentang vaksinasi pada anak. Udah pada divaksin belâ€¦ https://t.co/yslUcKwQ8y
1/11/2021 22:05,Bela Indi Sulistio,"Vaksinasi Mengakhiri Pandemi Covid-19 Menuju Herd Immunity 

#rapidantibodi
#rapidantigen
#swabPCR
#vaksin
ðŸ™ðŸ™ðŸ™ https://t.co/vOE3OWNpK8"
1/12/2021 0:19,MasTON,"Vaksin kan obat pencegah kan kayak imunisasi.
Bukan obat penyembuh kayak mixagrib atau ultraaflu atau panasdol.
Tetâ€¦ https://t.co/yjP7LAXRpY"
1/12/2021 1:02,Validnews Indonesia,"Ketua Umum Ikatan Dokter Indonesia (IDI), Daeng M. Faqih, mengimbau agar masyarakat menghentikan polemik seputar vaâ€¦ https://t.co/v53898Oe6C"
1/12/2021 1:32,BaBe - Baca Berita,"Vaksinasi Tahap Pertama di Jateng, akan Dilakukan di Semarang dan Solo #KabupatenSemarang #Vaksinasiâ€¦ https://t.co/ff6fq3k5iX"
1/12/2021 1:46,áµ‡áµ‰CÌ¶hÌ¶rÌ¶iÌ¶sÌ¶tÌ¶tÌ¶pÌ¶sÌ¶,Menkes : Lansia Bisa Terima Vaksin Covid-19 Dari GAVI https://t.co/6vYsrDUiq3 #Vaksin #lansia #kemenkes #gavi
1/12/2021 1:51,Seputar Info Indonesia,"Dukung perlambat pandemi dengan siap divaksin.

#Covid19 #VirusCorona #SocialDistancing #PhysicalDistancingâ€¦ https://t.co/q7ojV6T9xh"
1/12/2021 1:55,Ananda Jaya,"Vaksinnya lolos uji klinis

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/7esSuUMnoB"
1/12/2021 1:56,Ananda Jaya,"Dipastikan aman

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/syJ5SezBM2"
1/12/2021 1:56,Ananda Jaya,"Sudah sesuai dengan data yang ada

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/Vg97x5cDk7"
1/12/2021 1:57,Ananda Jaya,"BPOM sudah izinkan penggunaan Vaksin

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/wdHmEm5qsG"
1/12/2021 1:58,Ananda Jaya,"Sudah lolos Uji Klinis ya

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/Evbxh9clUq"
1/12/2021 2:02,Kata Batam,"BPOM: Vaksin Sinovac Covid-19 Aman, MUI pun Resmi Keluarkan Fatwa Suci &amp; Halal
 #Batam #Covid19 #Vaksinâ€¦ https://t.co/qWyBtTHL5c"
1/12/2021 2:11,Pikiran Rakyat,"Setelah EUA Resmi Dikeluarkan BPOM, MUI Nyatakan Vaksin Covid-19 Buatan Tiongkok Sinovac Halal
#MUI #Vaksin #Halalâ€¦ https://t.co/7ImK132UG1"
1/12/2021 2:18,Ahmad Ali,Kesediaan Presiden untuk menjadi yg pertama sebagai penerima #vaksin ini tentunya dimaksudkan agar rakyat Indonesiaâ€¦ https://t.co/pzodbeSlGM
1/12/2021 2:20,áµ‡áµ‰CÌ¶hÌ¶rÌ¶iÌ¶sÌ¶tÌ¶tÌ¶pÌ¶sÌ¶,Warga Yang Tolak di Vaksin Bisa Dipenjara https://t.co/XUkgfBu6jF #Vaksin #tolakvaksin #kesehatan
1/12/2021 2:43,BaBe - Baca Berita,"Kemanjuran Vaksin Sinovac di Indonesia 65,3% Beda Dengan Hasil di Turki dan Brazil, Ini Sebabnya #Vaksin #Virusâ€¦ https://t.co/K0lPyHtnZU"
1/12/2021 2:43,detakpos,BPOMÂ SetujuÂ Gunakan Vaksin COVID-19 Produksi Sinovac https://t.co/TeSkfZ5n9M #kemenkes #satgascovid19 #vaksinâ€¦ https://t.co/lG0hLQURJq
1/12/2021 2:48,Beritakitacoid,"Vaksinasi Covid di Lamsel Diperkirakan Akhir Januari Atau Awal Februari
https://t.co/a3xREsaRs2

#beritakitacoidâ€¦ https://t.co/UpkNiTpDzm"
1/12/2021 2:57,Andre,"Berdasarkan Hasil Evaluasi Mutu BPOM, #Vaksin Covid-19  Produksi Sinovac, AMAN https://t.co/LAkFZ1O4R3"
1/12/2021 3:04,Kraksaan Online Dot ID,Kabupaten Probolinggo Siap Laksanakan Vaksinasi Covid-19 https://t.co/jOV0gUkjgY #corona #COVID #vaksin
1/12/2021 3:05,IDN Globe,Kepala Badan POM mengatakan vaksin CoronaVac yang telah diuji klinis di Indonesia memenuhi persyaratan mendapatkanâ€¦ https://t.co/yXh04VdFuV
1/12/2021 3:08,NawaCita2024,"Walau sudah di #vaksin tetap wajib 3M

#vaksinuntukkita https://t.co/ZYRWMfKyIo"
1/12/2021 3:11,NawaCita2024,Ayooo kita sukseskan #Vaksinasi #COVID19 https://t.co/flPJLh9EzH
1/12/2021 3:12,MNC Trijaya 104.6 FM,"Saksikan Live Press Conference mengenai Kedatangan Vaksin COVID-19 Tahap Ketiga. Selasa, 12 Januari 2021 Pukul 12.2â€¦ https://t.co/sQEeKFTOtI"
1/12/2021 3:15,sobatmagang_id,"Mau divaksin ?

#vaksin #VaksinSinovac #sinovac"
1/12/2021 3:29,Muhammadiyah,"Berdasarkan pertimbangan kemaslahatan umum, tingkat kedaruratan utama (martabat dlaruri) serta demi menyelamatkan kâ€¦ https://t.co/JZDZWRaaeg"
1/12/2021 3:41,Batam Pos,"IDI: Stop Polemik, Nakes Jangan Takut Divaksin Covid-19 https://t.co/ervjiyO2NN via @harianbatampos 

#COVID19 #Vaksin"
1/12/2021 3:49,Arnold Mamesah MA,Eforia #vaksin menuju Herd Immunity dengan berpikir kritis dan jernih - perjalanan panjang COVID-19 tidak segera beâ€¦ https://t.co/K7yF6RwqoR
1/12/2021 3:51,PMJNEWS,"BPOM Terbitkan EUA, IDI: Hentikan Polemik Soal Vaksin Sinovac
https://t.co/DE3lrxyOTz 
#BPOM #EUA #vaksin #COVID19"
1/12/2021 3:55,BaBe - Baca Berita,"Daftar Efikasi Vaksin Covid-19, Sinovac Ungguli AstraZeneca Dosis Normal #Vaksin #Epidemiologi #TenagaKesehatanâ€¦ https://t.co/AowXma3ysV"
1/12/2021 4:06,áµ‡áµ‰CÌ¶hÌ¶rÌ¶iÌ¶sÌ¶tÌ¶tÌ¶pÌ¶sÌ¶,DKP2KB : Setelah Divaksin Dilarang Langsung Pulang https://t.co/0FmhIff4gN #dkp2kb #Vaksin #nakes #kesehatan #Covid_19
1/12/2021 4:20,InfoImunisasi,"HALAL sudah, BPOM sudah, entaskan polemik, saatnya vaksinasi untuk herd immunity #VaksinHalal #Vaksin https://t.co/OGmMX9lxoU"
1/12/2021 4:20,Majelis Ulama Indonesia,"Alhamdulillah fatwa halal vaksin sinovac oleh MUI sudah final, setelah otoritas BPOM @BPOM_RI  menyatakan vaksin inâ€¦ https://t.co/UDmteBMJT6"
1/12/2021 4:45,suarabanyumas,Kabupaten #Purbalingga mendapatkan jatah 1.326 #vaksin Covid-19 untuk tahap pertama. Namun jumlah tersebut masih daâ€¦ https://t.co/SUAZ5uCFGZ
1/12/2021 4:48,Arsika,"Mari kita dukung program vaksinasi Covid-19 agar indonesia terbebas dari pandemi.

#vaksin
#indonesiamaju
#jokowi https://t.co/YzqTYq28uU"
1/12/2021 4:54,Puskapik.com,"Sanksi pidana bagi penolak vaksin.
.
Grafis: @CandraSuciawan 
.
#puskapikcom #puskapikinfografis #vaksin #covid19â€¦ https://t.co/AARjZtOcr0"
1/12/2021 5:00,TVMu,"Pandangan dan sikap Muhammadiyah terkait Vaksinasi 

@Abe_Mukti 
#Muhammadiyah
#TvMuhammadiya
#Vaksinasi
#Sinovacâ€¦ https://t.co/QlawezjRZZ"
1/12/2021 5:01,BaBe - Baca Berita,Gubernur Banten Ungkap Alasan Serang dan Tangsel Dapat Jatah Vaksin Pertama #Vaksin #tangsel #KabupatenTangerangâ€¦ https://t.co/jazfTP6KkA
1/12/2021 5:11,#RiauPos3Dekade,Kapolres Kampar: Saya Siap Disuntik Vaksin. - #RiauPos  #Kapolres #Suntik #Vaksin #Pertama #Kampar https://t.co/3oJzswjTTo
1/12/2021 5:11,musemedia.id,"Program Vaksinasi Covid 19 Di Mulai 14 January
https://t.co/DJFSbbBqEv

#musemedia #musemediaid #mymuse #vaksinasiâ€¦ https://t.co/Gs7WAsdDex"
1/12/2021 5:12,BaBe - Baca Berita,"Sebegini Denda untuk Warga Bekasi Penolak Vaksinasi Covid-19, Lumayan #Vaksin #Vaksinasi #dprd #Virus #Wabahâ€¦ https://t.co/iJte2J1J6y"
